season,school_id,latitude,longitude
2014,161,46.8737648,-96.7678039
2015,161,46.8737648,-96.7678039
2016,161,46.8737648,-96.7678039
2017,161,46.8737648,-96.7678039
2010,1240,46.8737648,-96.7678039
2011,1240,46.8737648,-96.7678039
2012,1240,46.8737648,-96.7678039
2013,1240,46.8737648,-96.7678039
2014,1240,46.8737648,-96.7678039
2015,1240,46.8737648,-96.7678039
2016,1240,46.8737648,-96.7678039
2017,1240,46.8737648,-96.7678039
2009,161,46.8737648,-96.7678039
2009,1240,46.8737648,-96.7678039
2010,787,40.9253725,-74.2765441
2011,787,40.9253725,-74.2765441
2012,787,40.9253725,-74.2765441
2013,787,40.9253725,-74.2765441
2014,787,40.9253725,-74.2765441
2015,787,40.9253725,-74.2765441
2016,787,40.9253725,-74.2765441
2017,787,40.9253725,-74.2765441
2009,787,40.9253725,-74.2765441
2010,203,38.4495688,-78.8689155
2011,203,38.4495688,-78.8689155
2012,203,38.4495688,-78.8689155
2013,203,38.4495688,-78.8689155
2014,203,38.4495688,-78.8689155
2015,203,38.4495688,-78.8689155
2016,203,38.4495688,-78.8689155
2017,203,38.4495688,-78.8689155
2010,317,38.4495688,-78.8689155
2011,317,38.4495688,-78.8689155
2012,317,38.4495688,-78.8689155
2013,317,38.4495688,-78.8689155
2014,317,38.4495688,-78.8689155
2015,317,38.4495688,-78.8689155
2016,317,38.4495688,-78.8689155
2017,317,38.4495688,-78.8689155
2009,203,38.4495688,-78.8689155
2009,317,38.4495688,-78.8689155
2010,739,40.0375832,-75.3491813
2011,739,40.0375832,-75.3491813
2012,739,40.0375832,-75.3491813
2013,739,40.0375832,-75.3491813
2014,739,40.0375832,-75.3491813
2015,739,40.0375832,-75.3491813
2016,739,40.0375832,-75.3491813
2017,739,40.0375832,-75.3491813
2009,739,40.0375832,-75.3491813
2010,1433,42.2305588,-97.0178236
2011,1433,42.2305588,-97.0178236
2012,1433,42.2305588,-97.0178236
2013,1433,42.2305588,-97.0178236
2014,1433,42.2305588,-97.0178236
2015,1433,42.2305588,-97.0178236
2016,1433,42.2305588,-97.0178236
2017,1433,42.2305588,-97.0178236
2009,1433,42.2305588,-97.0178236
2010,1062,32.5448714,-94.3674184
2011,1062,32.5448714,-94.3674184
2012,1062,32.5448714,-94.3674184
2013,1062,32.5448714,-94.3674184
2014,1062,32.5448714,-94.3674184
2015,1062,32.5448714,-94.3674184
2016,1062,32.5448714,-94.3674184
2017,1062,32.5448714,-94.3674184
2009,1062,32.5448714,-94.3674184
2010,20576,33.5831662,-84.3393683
2011,20576,33.5831662,-84.3393683
2012,20576,33.5831662,-84.3393683
2013,20576,33.5831662,-84.3393683
2014,20576,33.5831662,-84.3393683
2015,20576,33.5831662,-84.3393683
2016,20576,33.5831662,-84.3393683
2017,20576,33.5831662,-84.3393683
2009,20576,33.5831662,-84.3393683
2010,541,34.0259216,-118.7797571
2011,541,34.0259216,-118.7797571
2012,541,34.0259216,-118.7797571
2013,541,34.0259216,-118.7797571
2014,541,34.0259216,-118.7797571
2015,541,34.0259216,-118.7797571
2016,541,34.0259216,-118.7797571
2017,541,34.0259216,-118.7797571
2009,541,34.0259216,-118.7797571
2010,660,38.8114364,-89.953157
2011,660,38.8114364,-89.953157
2012,660,38.8114364,-89.953157
2013,660,38.8114364,-89.953157
2014,660,38.8114364,-89.953157
2015,660,38.8114364,-89.953157
2016,660,38.8114364,-89.953157
2017,660,38.8114364,-89.953157
2009,660,38.8114364,-89.953157
2010,502,40.4233142,-104.7091322
2011,502,40.4233142,-104.7091322
2012,502,40.4233142,-104.7091322
2013,502,40.4233142,-104.7091322
2014,502,40.4233142,-104.7091322
2015,502,40.4233142,-104.7091322
2016,502,40.4233142,-104.7091322
2017,502,40.4233142,-104.7091322
2009,502,40.4233142,-104.7091322
2010,1013,38.3498195,-81.6326234
2011,1013,38.3498195,-81.6326234
2012,1013,38.3498195,-81.6326234
2013,1013,38.3498195,-81.6326234
2014,1013,38.3498195,-81.6326234
2015,1013,38.3498195,-81.6326234
2016,1013,38.3498195,-81.6326234
2017,1013,38.3498195,-81.6326234
2009,1013,38.3498195,-81.6326234
2010,8965,34.774531,-96.6783449
2011,8965,34.774531,-96.6783449
2012,8965,34.774531,-96.6783449
2013,8965,34.774531,-96.6783449
2014,8965,34.774531,-96.6783449
2015,8965,34.774531,-96.6783449
2016,8965,34.774531,-96.6783449
2017,8965,34.774531,-96.6783449
2009,8965,34.774531,-96.6783449
2010,259,39.7028923,-75.1118422
2011,259,39.7028923,-75.1118422
2012,259,39.7028923,-75.1118422
2013,259,39.7028923,-75.1118422
2014,259,39.7028923,-75.1118422
2015,259,39.7028923,-75.1118422
2016,259,39.7028923,-75.1118422
2017,259,39.7028923,-75.1118422
2009,259,39.7028923,-75.1118422
2010,1439,38.38377,-81.7657977
2011,1439,38.38377,-81.7657977
2012,1439,38.38377,-81.7657977
2013,1439,38.38377,-81.7657977
2014,1439,38.38377,-81.7657977
2015,1439,38.38377,-81.7657977
2016,1439,38.38377,-81.7657977
2017,1439,38.38377,-81.7657977
2009,1439,38.38377,-81.7657977
2010,422,33.4859402,-86.9119366
2011,422,33.4859402,-86.9119366
2012,422,33.4859402,-86.9119366
2013,422,33.4859402,-86.9119366
2014,422,33.4859402,-86.9119366
2015,422,33.4859402,-86.9119366
2016,422,33.4859402,-86.9119366
2017,422,33.4859402,-86.9119366
2009,422,33.4859402,-86.9119366
2010,517,40.7694969,-83.8227148
2011,517,40.7694969,-83.8227148
2012,517,40.7694969,-83.8227148
2013,517,40.7694969,-83.8227148
2014,517,40.7694969,-83.8227148
2015,517,40.7694969,-83.8227148
2016,517,40.7694969,-83.8227148
2017,517,40.7694969,-83.8227148
2009,517,40.7694969,-83.8227148
2010,9630,38.9939872,-80.2320276
2011,9630,38.9939872,-80.2320276
2012,9630,38.9939872,-80.2320276
2013,9630,38.9939872,-80.2320276
2014,9630,38.9939872,-80.2320276
2015,9630,38.9939872,-80.2320276
2016,9630,38.9939872,-80.2320276
2017,9630,38.9939872,-80.2320276
2009,9630,38.9939872,-80.2320276
2010,475,41.7475933,-74.0868095
2011,475,41.7475933,-74.0868095
2012,475,41.7475933,-74.0868095
2013,475,41.7475933,-74.0868095
2014,475,41.7475933,-74.0868095
2015,475,41.7475933,-74.0868095
2016,475,41.7475933,-74.0868095
2017,475,41.7475933,-74.0868095
2009,475,41.7475933,-74.0868095
2016,10,34.7303688,-86.5861037
2017,10,34.7303688,-86.5861037
2009,10,34.7303688,-86.5861037
2010,10,34.7303688,-86.5861037
2011,10,34.7303688,-86.5861037
2012,10,34.7303688,-86.5861037
2013,10,34.7303688,-86.5861037
2014,10,34.7303688,-86.5861037
2015,10,34.7303688,-86.5861037
2011,30040,46.681153,-68.0158614
2012,30040,46.681153,-68.0158614
2013,30040,46.681153,-68.0158614
2014,30040,46.681153,-68.0158614
2015,30040,46.681153,-68.0158614
2016,30040,46.681153,-68.0158614
2017,30040,46.681153,-68.0158614
2010,649,44.3113573,-96.7983877
2011,649,44.3113573,-96.7983877
2012,649,44.3113573,-96.7983877
2013,649,44.3113573,-96.7983877
2014,649,44.3113573,-96.7983877
2015,649,44.3113573,-96.7983877
2016,649,44.3113573,-96.7983877
