school_id,season_href,school_name,season,division
130,/team/130/10080,Central Mo.,2009,2
1009,/team/1009/10080,Central Okla.,2009,2
30049,/team/30049/10080,Central St. (OH),2009,2
1010,/team/1010/10080,Central Wash.,2009,2
1012,/team/1012/10080,Chadron St.,2009,2
133,/team/133/10080,Chaminade,2009,2
1013,/team/1013/10080,Charleston (WV),2009,2
21323,/team/21323/10080,Chestnut Hill,2009,2
135,/team/135/10080,Cheyney,2009,2
95,/team/95/10080,Chico St.,2009,2
8875,/team/8875/10080,Chowan,2009,2
1015,/team/1015/10080,Christian Bros.,2009,2
30058,/team/30058/10080,Claflin,2009,2
143,/team/143/10080,Clarion,2009,2
144,/team/144/10080,Clark Atlanta,2009,2
20576,/team/20576/10080,Clayton St.,2009,2
1023,/team/1023/10080,Coker,2009,2
11403,/team/11403/10080,Colo. Christian,2009,2
155,/team/155/10080,Colo. Sch. of Mines,2009,2
11416,/team/11416/10080,Colorado Mesa,2009,2
2720,/team/2720/10080,Colorado St.-Pueblo,2009,2
159,/team/159/10080,Columbus St.,2009,2
1028,/team/1028/10080,Concord,2009,2
162,/team/162/10080,Concordia (NY),2009,2
9081,/team/9081/10080,Concordia-St. Paul,2009,2
8935,/team/8935/10080,Converse,2009,2
1045,/team/1045/10080,DBU,2009,2
174,/team/174/10080,Davis & Elkins,2009,2
181,/team/181/10080,Delta St.,2009,2
186,/team/186/10080,Dist. Columbia,2009,2
30095,/team/30095/10080,Dixie St.,2009,2
8956,/team/8956/10080,Dominican (NY),2009,2
2692,/team/2692/10080,Dowling,2009,2
1057,/team/1057/10080,Drury,2009,2
8965,/team/8965/10080,East Central,2009,2
197,/team/197/10080,East Stroudsburg,2009,2
206,/team/206/10080,Eastern N.M.,2009,2
208,/team/208/10080,Eckerd,2009,2
209,/team/209/10080,Edinboro,2009,2
210,/team/210/10080,Elizabeth City St.,2009,2
1071,/team/1071/10080,Emporia St.,2009,2
1072,/team/1072/10080,Erskine,2009,2
1076,/team/1076/10080,Fairmont St.,2009,2
223,/team/223/10080,Fayetteville St.,2009,2
23157,/team/23157/10080,Felician,2009,2
224,/team/224/10080,Ferris St.,2009,2
1079,/team/1079/10080,Findlay,2009,2
233,/team/233/10080,Fla. Southern,2009,2
30092,/team/30092/10080,Flagler,2009,2
230,/team/230/10080,Florida Tech,2009,2
9011,/team/9011/10080,Fort Hays St.,2009,2
1083,/team/1083/10080,Fort Lewis,2009,2
237,/team/237/10080,Fort Valley St.,2009,2
1085,/team/1085/10080,Francis Marion,2009,2
241,/team/241/10080,Franklin Pierce,2009,2
1097,/team/1097/10080,Ga. Southwestern,2009,2
246,/team/246/10080,Gannon,2009,2
1096,/team/1096/10080,Georgia College,2009,2
9004,/team/9004/10080,Georgian Court,2009,2
1098,/team/1098/10080,Glenville St.,2009,2
8366,/team/8366/10080,Goldey-Beacom,2009,2
1104,/team/1104/10080,Grand Canyon,2009,2
262,/team/262/10080,Grand Valley St.,2009,2
1116,/team/1116/10080,Harding,2009,2
2697,/team/2697/10080,Hawaii Hilo,2009,2
2696,/team/2696/10080,Hawaii Pacific,2009,2
1123,/team/1123/10080,Henderson St.,2009,2
280,/team/280/10080,Hillsdale,2009,2
1126,/team/1126/10080,Holy Family,2009,2
291,/team/291/10080,Humboldt St.,2009,2
2743,/team/2743/10080,Incarnate Word,2009,2
307,/team/307/10080,Indiana (PA),2009,2
543,/team/543/10080,Jefferson,2009,2
323,/team/323/10080,Johnson C. Smith,2009,2
332,/team/332/10080,Kentucky St.,2009,2
339,/team/339/10080,Kutztown,2009,2
333,/team/333/10080,Ky. Wesleyan,2009,2
