season,season_id,school_id,school_name,division
2009,10080,143,Clarion,2
2009,10080,144,Clark Atlanta,2
2009,10080,20576,Clayton St.,2
2009,10080,1023,Coker,2
2009,10080,11403,Colo. Christian,2
2009,10080,155,Colo. Sch. of Mines,2
2009,10080,11416,Colorado Mesa,2
2009,10080,2720,Colorado St.-Pueblo,2
2009,10080,159,Columbus St.,2
2009,10080,1028,Concord,2
2009,10080,162,Concordia (NY),2
2009,10080,9081,Concordia-St. Paul,2
2009,10080,8935,Converse,2
2009,10080,1045,DBU,2
2009,10080,174,Davis & Elkins,2
2009,10080,181,Delta St.,2
2009,10080,186,Dist. Columbia,2
2009,10080,30095,Dixie St.,2
2009,10080,8956,Dominican (NY),2
2009,10080,2692,Dowling,2
2009,10080,1057,Drury,2
2009,10080,8965,East Central,2
2009,10080,197,East Stroudsburg,2
2009,10080,206,Eastern N.M.,2
2009,10080,208,Eckerd,2
2009,10080,209,Edinboro,2
2009,10080,210,Elizabeth City St.,2
2009,10080,1071,Emporia St.,2
2009,10080,1072,Erskine,2
2009,10080,1076,Fairmont St.,2
2009,10080,223,Fayetteville St.,2
2009,10080,23157,Felician,2
2009,10080,224,Ferris St.,2
2009,10080,1079,Findlay,2
2009,10080,233,Fla. Southern,2
2009,10080,30092,Flagler,2
2009,10080,230,Florida Tech,2
2009,10080,9011,Fort Hays St.,2
2009,10080,1083,Fort Lewis,2
2009,10080,237,Fort Valley St.,2
2009,10080,1085,Francis Marion,2
2009,10080,241,Franklin Pierce,2
2009,10080,1097,Ga. Southwestern,2
2009,10080,246,Gannon,2
2009,10080,1096,Georgia College,2
2009,10080,9004,Georgian Court,2
2009,10080,1098,Glenville St.,2
2009,10080,8366,Goldey-Beacom,2
2009,10080,1104,Grand Canyon,2
2009,10080,262,Grand Valley St.,2
2009,10080,1116,Harding,2
2009,10080,2697,Hawaii Hilo,2
2009,10080,2696,Hawaii Pacific,2
2009,10080,1123,Henderson St.,2
2009,10080,280,Hillsdale,2
2009,10080,1126,Holy Family,2
2009,10080,291,Humboldt St.,2
2009,10080,2743,Incarnate Word,2
2009,10080,307,Indiana (PA),2
2009,10080,543,Jefferson,2
2009,10080,323,Johnson C. Smith,2
2009,10080,332,Kentucky St.,2
2009,10080,339,Kutztown,2
2009,10080,333,Ky. Wesleyan,2
2009,10080,362,LIU Post,2
2009,10080,2746,Lake Erie,2
2009,10080,345,Lake Superior St.,2
2009,10080,1167,Lander,2
2009,10080,347,Lane,2
2009,10080,349,Le Moyne,2
2009,10080,350,LeMoyne-Owen,2
2009,10080,13302,Lees-McRae,2
2009,10080,1170,Lenoir-Rhyne,2
2009,10080,354,Lewis,2
2009,10080,1174,Limestone,2
2009,10080,356,Lincoln (MO),2
2009,10080,357,Lincoln (PA),2
2009,10080,1176,Lincoln Memorial,2
2009,10080,359,Livingstone,2
2009,10080,360,Lock Haven,2
2009,10080,20794,Lynn,2
2009,10080,413,MSU Denver,2
2009,10080,1240,MSU Moorhead,2
2009,10080,384,Mansfield,2
2009,10080,1199,Mars Hill,2
2009,10080,30075,Mary,2
2009,10080,407,Mercy,2
2009,10080,408,Mercyhurst,2
2009,10080,410,Merrimack,2
2009,10080,417,Michigan Tech,2
2009,10080,1222,Midwestern St.,2
2009,10080,422,Miles,2
2009,10080,423,Millersville,2
2009,10080,427,Minn. Duluth,2
2009,10080,27854,Minn.-Crookston,2
2009,10080,383,Minnesota St.,2
2009,10080,435,Missouri S&T,2
2009,10080,9013,Missouri Western,2
2009,10080,9012,Mo. Southern St.,2
2009,10080,436,Mo.-St. Louis,2
2009,10080,437,Molloy,2
2009,10080,205,Mont. St. Billings,2
2009,10080,1238,Montevallo,2
2009,10080,445,Morehouse,2
2009,10080,447,Morningside,2
2009,10080,1245,Mount Olive,2
2009,10080,8577,N.M. Highlands,2
2009,10080,477,NYIT,2
2009,10080,1156,Neb.-Kearney,2
2009,10080,470,New Haven,2
2009,10080,1257,Newberry,2
2009,10080,30054,Newman,2
2009,10080,487,North Ala.,2
2009,10080,494,North Dakota,2
2009,10080,30052,North Georgia,2
2009,10080,9223,North Greenville,2
2009,10080,12810,Northeastern St.,2
2009,10080,505,Northern Ky.,2
2009,10080,506,Northern Mich.,2
2009,10080,1266,Northern St.,2
2009,10080,507,Northwest Mo. St.,2
2009,10080,1274,Northwest Nazarene,2
2009,10080,510,Northwood,2
2009,10080,30056,Notre Dame de Namur,2
2009,10080,24639,Nova Southeastern,2
2009,10080,1277,Nyack,2
2009,10080,1278,Oakland City,2
2009,10080,15207,Ohio Valley,2
2009,10080,24342,Okla. Panhandle,2
2009,10080,464,Omaha,2
2009,10080,1289,Ouachita Baptist,2
2009,10080,2682,P.R.-Bayamon,2
2009,10080,1321,P.R.-Cayey,2
2009,10080,27859,P.R.-Humacao,2
2009,10080,24361,P.R.-Mayaguez,2
2009,10080,2716,P.R.-Rio Piedras,2
2009,10080,533,Pace,2
2009,10080,535,Paine,2
2009,10080,30045,Palm Beach Atl.,2
2009,10080,542,Pfeiffer,2
2009,10080,546,Pitt.-Johnstown,2
2009,10080,1314,Pittsburg St.,2
2009,10080,1318,Post,2
2009,10080,11504,Queens (NC),2
2009,10080,560,Queens (NY),2
2009,10080,561,Quincy,2
2009,10080,568,Regis (CO),2
2009,10080,1328,Rockhurst,2
2009,10080,584,Rollins,2
2009,10080,11276,S.C. Aiken,2
2009,10080,591,Saginaw Valley,2
2009,10080,594,Saint Augustine's,2
2009,10080,608,Saint Leo,2
2009,10080,1343,Saint Martin's,2
2009,10080,613,Saint Michael's,2
2009,10080,1347,Saint Rose,2
2009,10080,19117,Salem (WV),2
2009,10080,628,San Fran. St.,2
2009,10080,634,Seattle Pacific,2
2009,10080,1356,Seattle U,2
2009,10080,30063,Seton Hill,2
2009,10080,636,Shaw,2
2009,10080,10870,Shepherd,2
2009,10080,638,Shippensburg,2
2009,10080,643,Slippery Rock,2
2009,10080,645,Sonoma St.,2
2009,10080,650,South Dakota,2
2009,10080,2753,Southampton,2
2009,10080,1371,Southeastern Okla.,2
2009,10080,1376,Southern Ark.,2
2009,10080,658,Southern Conn. St.,2
2009,10080,661,Southern Ind.,2
2009,10080,468,Southern N.H.,2
2009,10080,2755,Southwest Baptist,2
2009,10080,8736,Southwest Minn. St.,2
2009,10080,8744,Southwestern Okla.,2
2009,10080,592,St. Andrews,2
2009,10080,593,St. Anselm,2
2009,10080,598,St. Cloud St.,2
2009,10080,1334,St. Edward's,2
2009,10080,604,St. Joseph's (IN),2
2009,10080,1346,St. Mary's (TX),2
2009,10080,616,St. Paul's,2
2009,10080,1348,St. Thomas Aquinas,2
2009,10080,103,Stanislaus St.,2
2009,10080,680,Stillman,2
2009,10080,682,Stonehill,2
2009,10080,689,Tampa,2
2009,10080,1395,Tarleton St.,2
2009,10080,30090,Tex. A&M Int'l,2
2009,10080,199,Tex. A&M-Commerce,2
2009,10080,696,Tex. A&M-Kingsville,2
2009,10080,30088,Tex. Permian Basin,2
2009,10080,1403,Tiffin,2
2009,10080,499,Truman,2
2009,10080,12830,Tusculum,2
2009,10080,720,Tuskegee,2
2009,10080,112,UC San Diego,2
2009,10080,9754,UC-Colo. Springs,2
2009,10080,309,UIndy,2
2009,10080,368,UMass Lowell,2
2009,10080,537,UNC Pembroke,2
2009,10080,28594,USciences,2
2009,10080,728,Upper Iowa,2
2009,10080,734,Valdosta St.,2
2009,10080,743,Virginia St.,2
2009,10080,744,Virginia Union,2
2009,10080,2814,Washburn,2
2009,10080,1029,Washington Adventist,2
2009,10080,757,Wayne St. (MI),2
2009,10080,1433,Wayne St. (NE),2
2009,10080,358,West Ala.,2
2009,10080,765,West Chester,2
2009,10080,11740,West Florida,2
2009,10080,766,West Ga.,2
2009,10080,1438,West Liberty,2
2009,10080,767,West Tex. A&M,2
2009,10080,14901,West Va. Tech,2
2009,10080,9630,West Va. Wesleyan,2
2009,10080,1439,West Virginia St.,2
2009,10080,1445,Western N.M.,2
2009,10080,1446,Western Ore.,2
2009,10080,2759,Western St.,2
2009,10080,1448,Western Wash.,2
2009,10080,12799,Wheeling Jesuit,2
2009,10080,1460,Wilmington (DE),2
2009,10080,1462,Wingate,2
2009,10080,790,Winona St.,2
2009,10080,799,Wis.-Parkside,2
2009,10080,4,Adrian,3
2009,10080,2798,Albertus Magnus,3
2009,10080,15,Albion,3
2009,10080,16,Albright,3
2009,10080,18,Alfred,3
2009,10080,19,Allegheny,3
2009,10080,21,Alma,3
2009,10080,938,Alvernia,3
2009,10080,24,Amherst,3
2009,10080,939,Anderson (IN),3
2009,10080,26,Anna Maria,3
2009,10080,966,Arcadia,3
2009,10080,38,Augsburg,3
2009,10080,40,Augustana (IL),3
2009,10080,42,Aurora,3
2009,10080,953,Austin,3
2009,10080,44,Averett,3
2009,10080,45,Babson,3
2009,10080,46,Baldwin Wallace,3
2009,10080,962,Bard,3
2009,10080,58,Baruch,3
2009,10080,50,Bates,3
2009,10080,26107,Becker,3
2009,10080,53,Beloit,3
2009,10080,296,Benedictine (IL),3
2009,10080,59,Bethany (WV),3
2009,10080,30038,Bethany Lutheran,3
2009,10080,60,Bethel (MN),3
2009,10080,28593,Birmingham-So.,3
2009,10080,64,Blackburn,3
2009,10080,987,Bluffton,3
2009,10080,69,Bowdoin,3
2009,10080,73,Brandeis,3
2009,10080,75,Bridgewater (VA),3
2009,10080,76,Bridgewater St.,3
2009,10080,78,Brockport,3
2009,10080,79,Brooklyn,3
2009,10080,84,Buena Vista,3
2009,10080,85,Buffalo St.,3
2009,10080,480,CCNY,3
2009,10080,451,CMSV,3
2009,10080,122,CWRU,3
2009,10080,88,Cabrini,3
2009,10080,1305,Cairn,3
2009,10080,105,Cal Lutheran,3
2009,10080,98,Cal St. East Bay,3
2009,10080,89,Caltech,3
2009,10080,114,Calvin,3
2009,10080,117,Capital,3
2009,10080,118,Carleton,3
2009,10080,119,Carnegie Mellon,3
2009,10080,120,Carroll (WI),3
2009,10080,121,Carthage,3
2009,10080,123,Castleton,3
2009,10080,124,Catholic,3
2009,10080,23624,Cazenovia,3
2009,10080,12884,Centenary (NJ),3
2009,10080,126,Central (IA),3
2009,10080,132,Centre,3
2009,10080,134,Chapman,3
2009,10080,137,Chicago,3
2009,10080,139,Chris. Newport,3
2009,10080,8580,City Tech,3
2009,10080,142,Claremont-M-S,3
2009,10080,145,Clark (MA),3
2009,10080,1020,Clarke,3
2009,10080,958,Clarks Summit,3
2009,10080,146,Clarkson,3
2009,10080,722,Coast Guard,3
2009,10080,30083,Cobleskill St.,3
2009,10080,150,Coe,3
2009,10080,151,Colby,3
2009,10080,152,Colby-Sawyer,3
2009,10080,154,Colorado Col.,3
